Date,LT Composite > 10 Yrs,Treasury 20-Yr CMT,Extrapolation Factor
3/27/15,-0.028806584,-0.033755274,
3/26/15,0.042918455,0.039473684,
3/25/15,0.017467249,0.017857143,
3/24/15,-0.021367521,-0.021834061,
3/23/15,0,0,
3/20/15,-0.016806723,-0.017167382,
3/19/15,0.012765957,0.008658009,
3/18/15,-0.040816327,-0.0375,
3/17/15,-0.023904382,-0.020408163,
3/16/15,-0.007905138,-0.012096774,
3/13/15,0.007968127,0.004048583,
3/12/15,-0.003968254,0,
3/11/15,-0.015625,-0.015936255,
3/10/15,-0.022900763,-0.027131783,
3/9/15,-0.015037594,-0.019011407,
3/6/15,0.047244094,0.0562249,
3/5/15,0,0,
3/4/15,0,0,
3/3/15,0.011952191,0.012195122,
3/2/15,0.032921811,0.033613445,
2/27/15,-0.008163265,-0.0041841,
2/26/15,0.020833333,0.017021277,
2/25/15,-0.012345679,-0.012605042,
2/24/15,-0.028,-0.024590164,
2/23/15,-0.0234375,-0.024,
2/20/15,0,0,
2/19/15,0.015873016,0.016260163,
2/18/15,-0.019455253,-0.012048193,
2/17/15,0.053278689,0.041841004,
2/13/15,0.020920502,0.025751073,
2/12/15,0,0,
2/11/15,-0.004166667,0,
2/10/15,0.025641026,0.021929825,
2/9/15,0.004291845,0,
2/6/15,0.040178571,0.036363636,
2/5/15,0.013574661,0.013824885,
2/4/15,0.004545455,0.00462963,
2/3/15,0.052631579,0.043478261,
2/2/15,0.004807692,0.014705882,
1/30/15,-0.037037037,-0.033175355,
1/29/15,0.023696682,0.029268293,
1/28/15,-0.045248869,-0.046511628,
1/27/15,0,0.004672897,
1/26/15,0.00913242,0.009433962,
1/23/15,-0.035242291,-0.040723982,
1/22/15,0.008888889,0.004545455,
1/21/15,0.022727273,0.023255814,
1/20/15,-0.013452915,-0.00921659,
1/16/15,0.01826484,0.023584906,
1/15/15,-0.030973451,-0.036363636,
1/14/15,-0.013100437,-0.017857143,
1/13/15,0,0.004484305,
1/12/15,-0.025531915,-0.026200873,
1/9/15,-0.016736402,-0.017167382,
1/8/15,0.030172414,0.035555556,
1/7/15,0,0,
1/6/15,-0.033333333,-0.030172414,
1/5/15,-0.032258065,-0.037344398,
1/2/15,-0.02745098,-0.024291498,
12/31/14,-0.00390625,-0.008032129,
12/30/14,-0.007751938,-0.007968127,
12/29/14,-0.015267176,-0.011811024,
12/26/14,-0.003802281,-0.0078125,
12/24/14,-0.003787879,-0.003891051,
12/23/14,0.035294118,0.04048583,
12/22/14,-0.00390625,-0.004032258,
12/19/14,-0.019157088,-0.023622047,
12/18/14,0.031620553,0.032520325,
12/17/14,0.02016129,0.025,
12/16/14,-0.019762846,-0.020408163,
12/15/14,0,0,
12/12/14,-0.034351145,-0.035433071,
12/11/14,0.003831418,0,
12/10/14,-0.01509434,-0.015503876,
12/9/14,-0.014869888,-0.015267176,
12/8/14,-0.021818182,-0.026022305,
12/5/14,0.011029412,0.011278195,
12/4/14,-0.014492754,-0.018450185,
12/3/14,-0.003610108,-0.003676471,
12/2/14,0.018382353,0.022556391,
12/1/14,0.018726592,0.015267176,
11/28/14,-0.021978022,-0.018726592,
