Date,Close/Last,Volume,Open,High,Low
9/1/21,$382.05 ,11567160,$379.59 ,$384.33 ,$378.81 
8/31/21,$379.38 ,12345350,$379.95 ,$382.76 ,$378.80 
8/30/21,$380.66 ,13547260,$372.56 ,$381.49 ,$370.52 
8/27/21,$372.63 ,11219140,$365.10 ,$373.74 ,$364.08 
8/26/21,$364.38 ,7888683,$368.38 ,$369.44 ,$364.13 
8/25/21,$368.39 ,9684519,$365.60 ,$370.86 ,$365.40 
8/24/21,$365.51 ,9235148,$363.66 ,$367.96 ,$361.84 
8/23/21,$363.35 ,10942010,$359.44 ,$365.69 ,$359.10 
8/20/21,$359.37 ,8697667,$354.60 ,$359.99 ,$353.31 
8/19/21,$355.12 ,12004540,$351.35 ,$357.57 ,$351.00 
8/18/21,$355.45 ,10042380,$356.25 ,$359.86 ,$355.15 
8/17/21,$358.45 ,12328740,$362.98 ,$364.67 ,$355.07 
8/16/21,$366.56 ,11232270,$362.52 ,$366.95 ,$357.38 
8/13/21,$363.18 ,7195724,$362.97 ,$364.66 ,$361.48 
8/12/21,$362.65 ,7175206,$358.45 ,$363.00 ,$357.11 
8/11/21,$359.96 ,8400332,$362.10 ,$362.36 ,$357.81 
8/10/21,$361.13 ,7469878,$361.83 ,$364.10 ,$359.04 
8/9/21,$361.61 ,7798872,$363.76 ,$365.78 ,$360.75 
8/6/21,$363.51 ,8925017,$361.40 ,$365.15 ,$361.40 
8/5/21,$362.97 ,10247210,$359.64 ,$363.90 ,$356.90 
8/4/21,$358.92 ,14180570,$352.42 ,$360.48 ,$351.51 
8/3/21,$351.24 ,12406050,$352.73 ,$353.77 ,$347.70 
8/2/21,$351.95 ,13180440,$358.10 ,$359.40 ,$350.74 
7/30/21,$356.30 ,15976180,$354.00 ,$360.73 ,$352.94 
7/29/21,$358.32 ,33413240,$361.00 ,$365.52 ,$356.74 
7/28/21,$373.28 ,29676910,$374.56 ,$377.55 ,$366.93 
7/27/21,$367.81 ,15705450,$371.91 ,$373.15 ,$364.55 
7/26/21,$372.46 ,14925220,$369.58 ,$374.44 ,$368.22 
7/23/21,$369.79 ,33694330,$360.91 ,$375.33 ,$357.19 
7/22/21,$351.19 ,12385440,$346.68 ,$351.54 ,$345.21 
7/21/21,$346.23 ,9279657,$341.50 ,$346.52 ,$341.25 
7/20/21,$341.66 ,11024280,$338.80 ,$343.45 ,$334.50 
7/19/21,$336.95 ,14372350,$337.57 ,$339.79 ,$334.54 
7/16/21,$341.16 ,11026090,$344.91 ,$345.99 ,$340.14 
7/15/21,$344.46 ,14781590,$349.23 ,$349.23 ,$340.22 
